# Benchmark Case 1a Element Force Results: Denoted by element and degree of freedom
# DOF is based on NASTRAN numbering 1-7 are End A and 71-77 are End B
# 1=Moment1; 2=Moment2; 3=Shear1; 4=Shear2; 5=Axial; 6=Torque; 7=WarpingTorque
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1001_7,1010_71,1010_72,1010_73,1010_74,1010_75,1010_76,1010_77,1020_71,1020_72,1020_73,1020_74,1020_75,1020_76,1020_77,1101_71,1101_72,1101_73,1101_74,1101_75,1101_76,1101_77,1102_71,1102_72,1102_73,1102_74,1102_75,1102_76,1102_77,1103_71,1103_72,1103_73,1103_74,1103_75,1103_76,1103_77,1104_71,1104_72,1104_73,1104_74,1104_75,1104_76,1104_77
0.0,36.0528274294,36.0514985293,-65.218134065,-65.2181479636,-916223.3691,-0.000517243569249,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92567288456e-05,0.0,1.21662024082e-08,-2.08346331293e-08,-0.1519363808,-0.15193630592,-125.393948333,-2.00868840915e-05,0.0,-0.000101832020961,6.62993174587e-06,-406.731862173,6.85589947796e-07,0.44784798947,1.43366086096e-05,0.0,-0.000128900707714,6.23336860082e-06,-406.790150763,0.447848720725,4.0065179817e-07,-0.0190354571536,0.0,0.000101801274276,6.30832608166e-06,-406.848447966,5.17826417792e-07,-0.447847588823,-4.70570605425e-06,0.0,0.000128642413882,6.44679512521e-06,-406.790159012,-0.447847401493,1.3634183977e-07,0.0190359328401,0.0
0.001,36.0528274293,36.0514985294,-65.218134065,-65.2181479636,-916223.3691,-0.000517243583801,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92567288456e-05,0.0,1.21646152018e-08,-2.08387510314e-08,-0.1519363808,-0.15193630592,-125.393948333,-2.00868739733e-05,0.0,-0.000101832018005,6.62992901739e-06,-406.731862173,6.85590061483e-07,0.447847989473,1.43366084959e-05,0.0,-0.000128900709078,6.23336860082e-06,-406.790150763,0.447848720725,4.00648694875e-07,-0.0190354571535,0.0,0.000101801275754,6.30832790065e-06,-406.848447966,5.17826417792e-07,-0.447847588823,-4.70570605425e-06,0.0,0.000128642415246,6.44679330622e-06,-406.790159012,-0.447847401493,1.36342761699e-07,0.0190359328401,0.0
0.002,36.0528274292,36.0514985296,-65.218134065,-65.2181479636,-916223.3691,-0.000517243612905,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92567579494e-05,0.0,1.21598535826e-08,-2.08511047376e-08,-0.151936380799,-0.15193630592,-125.393948333,-2.00868436758e-05,0.0,-0.000101832009478,6.62992083193e-06,-406.731862173,6.85590402543e-07,0.44784798948,1.43366082686e-05,0.0,-0.000128900713625,6.23336951032e-06,-406.790150763,0.447848720725,4.00639384989e-07,-0.0190354571531,0.0,0.000101801280074,6.30833244813e-06,-406.848447966,5.17826304106e-07,-0.447847588825,-4.70570605425e-06,0.0,0.000128642419566,6.44678784925e-06,-406.790159012,-0.447847401492,1.3634552571e-07,0.0190359328401,0.0
0.003,36.052827429,36.05149853,-65.218134065,-65.2181479636,-916223.3691,-0.000517243685664,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92568161571e-05,0.0,1.21519175505e-08,-2.08716942479e-08,-0.151936380797,-0.15193630592,-125.393948333,-2.0086793142e-05,0.0,-0.00010183199504,6.62990718951e-06,-406.731862173,6.85591084664e-07,0.447847989492,1.43366079275e-05,0.0,-0.000128900720901,6.23337041981e-06,-406.790150763,0.447848720725,4.00623870288e-07,-0.0190354571526,0.0,0.000101801287236,6.30833972408e-06,-406.848447966,5.17826190419e-07,-0.447847588828,-4.70570594056e-06,0.0,0.000128642426842,6.4467796638e-06,-406.790159012,-0.447847401492,1.3635013358e-07,0.0190359328399,0.0
0.004,36.0528274287,36.0514985304,-65.218134065,-65.2181479636,-916223.3691,-0.000517243772976,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92568743647e-05,0.0,1.21408071056e-08,-2.09005195623e-08,-0.151936380795,-0.151936305921,-125.393948333,-2.00867224856e-05,0.0,-0.000101831975031,6.62988899962e-06,-406.731862173,6.85591880472e-07,0.447847989509,1.43366074728e-05,0.0,-0.000128900731133,6.2333722388e-06,-406.790150763,0.447848720725,4.0060214722e-07,-0.0190354571518,0.0,0.000101801297241,6.30834972853e-06,-406.848447966,5.17825963045e-07,-0.447847588832,-4.70570582687e-06,0.0,0.000128642436847,6.44676784037e-06,-406.790159012,-0.447847401491,1.36356585308e-07,0.0190359328398,0.0
0.005,36.0528274284,36.051498531,-65.218134065,-65.2181479636,-916223.3691,-0.000517243889391,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92569616762e-05,0.0,1.21265222479e-08,-2.09375806809e-08,-0.151936380793,-0.151936305922,-125.393948333,-2.00866315362e-05,0.0,-0.00010183194911,6.62986444326e-06,-406.731862173,6.85593017341e-07,0.447847989531,1.43366067906e-05,0.0,-0.000128900744321,6.23337405779e-06,-406.790150763,0.447848720725,4.00574219338e-07,-0.0190354571508,0.0,0.000101801310201,6.30836246145e-06,-406.848447966,5.17825735671e-07,-0.447847588837,-4.7057055995e-06,0.0,0.000128642449807,6.44675146947e-06,-406.790159012,-0.44784740149,1.36364879118e-07,0.0190359328397,0.0
0.006,36.0528274279,36.0514985318,-65.218134065,-65.2181479636,-916223.3691,-0.00051724403491,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92570489877e-05,0.0,1.21090629774e-08,-2.09828776035e-08,-0.15193638079,-0.151936305923,-125.393948333,-2.00865204641e-05,0.0,-0.000101831917505,6.62983533943e-06,-406.731862173,6.85594381583e-07,0.447847989558,1.43366061085e-05,0.0,-0.000128900760464,6.23337587678e-06,-406.790150763,0.447848720725,4.00540084865e-07,-0.0190354571495,0.0,0.000101801326003,6.30837792286e-06,-406.848447966,5.17825394611e-07,-0.447847588843,-4.70570548581e-06,0.0,0.000128642465723,6.44673237008e-06,-406.790159012,-0.44784740149,1.36375016786e-07,0.0190359328394,0.0
0.007,36.0528274274,36.0514985326,-65.218134065,-65.2181479636,-916223.3691,-0.000517244209533,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.9257165403e-05,0.0,1.2088429294e-08,-2.10364103303e-08,-0.151936380787,-0.151936305923,-125.393948333,-2.00863891558e-05,0.0,-0.000101831880216,6.62980077863e-06,-406.731862173,6.85595973198e-07,0.44784798959,1.4336605199e-05,0.0,-0.000128900779564,6.23337860527e-06,-406.790150763,0.447848720725,4.00499743801e-07,-0.019035457148,0.0,0.000101801344648,6.30839702225e-06,-406.848447966,5.1782505355e-07,-0.447847588851,-4.70570525844e-06,0.0,0.000128642484595,6.44671054221e-06,-406.790159012,-0.447847401488,1.36386998313e-07,0.0190359328391,0.0
0.008,36.0528274268,36.0514985336,-65.218134065,-65.2181479636,-916223.3691,-0.000517244398708,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92573109222e-05,0.0,1.20646211978e-08,-2.10981788612e-08,-0.151936380783,-0.151936305924,-125.393948333,-2.00862376113e-05,0.0,-0.000101831837129,6.62976076087e-06,-406.731862173,6.85597905875e-07,0.447847989626,1.43366040622e-05,0.0,-0.000128900801619,6.23338224324e-06,-406.790150763,0.447848720726,4.00453196147e-07,-0.0190354571463,0.0,0.000101801366248,6.30841885012e-06,-406.848447966,5.17824598803e-07,-0.44784758886,-4.70570491738e-06,0.0,0.000128642506196,6.44668416686e-06,-406.790159012,-0.447847401487,1.36400821922e-07,0.0190359328389,0.0
0.009,36.0528274261,36.0514985348,-65.218134065,-65.2181479636,-916223.3691,-0.000517244616987,0.0,92988.0455082,92988.0451798,-228.339440651,-228.339438576,-337389.342268,-8.92574855452e-05,0.0,1.20376386888e-08,-2.11681831962e-08,-0.151936380778,-0.151936305926,-125.393948333,-2.00860658873e-05,0.0,-0.000101831788357,6.62971528613e-06,-406.731862173,6.85599952238e-07,0.447847989668,1.43366029253e-05,0.0,-0.00012890082663,6.23338588122e-06,-406.790150763,0.447848720726,4.00400441901e-07,-0.0190354571444,0.0,0.000101801390691,6.30844340648e-06,-406.848447966,5.17824144056e-07,-0.447847588869,-4.70570469e-06,0.0,0.000128642530752,6.44665506303e-06,-406.790159012,-0.447847401486,1.36416489389e-07,0.0190359328385,0.0
