# Benchmark Case 3a Acceleration Results: Denoted by grid and degree of freedom
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1021_1,1021_2,1021_3,1021_4,1021_5,1021_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,1.00046497724e-06,8.65529555323e-07,-0.0036254020692,1.93485724888e-07,-2.38721056365e-05,-6.62270855201e-09,-3.5479768978e-07,-1.59419730102e-08,-0.000651213895704,-3.7854544744e-07,1.58414193857e-06,-1.16458701289e-10,-1.86684008155e-05,4.21213825693e-06,-0.0053111412912,2.2134059155e-06,2.52893036235e-05,-4.31404248404e-09
0.003,3.96440231591e-06,3.45803346651e-06,-0.0144865742096,7.68124271723e-07,-9.52579185512e-05,-2.64292116177e-08,-1.39113689068e-06,-6.32039988658e-08,-0.00259246135254,-1.50411733752e-06,6.30383297175e-06,-4.68310193455e-10,-7.44068860544e-05,1.68673144107e-05,-0.0212126450389,8.86112297233e-06,0.000100888864568,-1.67801938658e-08
0.004,8.78379447676e-06,7.76602126765e-06,-0.0325413245824,1.7067570228e-06,-0.000213506184513,-5.92453563543e-08,-3.02717457152e-06,-1.40064618452e-07,-0.00578820701611,-3.34868876511e-06,1.40659834631e-05,-1.06225165789e-09,-0.000166437263224,3.80174674214e-05,-0.0476096614666,1.99659945262e-05,0.000226010482721,-3.60442184753e-08
0.005,1.52876310382e-05,1.37714668282e-05,-0.0577237413218,2.98138924584e-06,-0.000377593417672,-1.04796928532e-07,-5.13283034629e-06,-2.43728071052e-07,-0.010182238629,-5.86827700251e-06,2.47241184498e-05,-1.90864376034e-09,-0.00029351963172,6.77451630682e-05,-0.0843504456328,3.55653073274e-05,0.000399396773568,-5.99594847197e-08
0.006,2.32483657521e-05,2.14500664972e-05,-0.0899453246879,4.55374055715e-06,-0.000586142747626,-1.62713923372e-07,-7.5372219095e-06,-3.70526416021e-07,-0.0156995547461,-9.00272997601e-06,3.80826099757e-05,-3.02154962426e-09,-0.000453993573534,0.000106162953866,-0.131233029298,5.57081235503e-05,0.000619368447459,-8.56304313062e-08
0.007,3.23892413e-05,3.07715841484e-05,-0.129096358271,6.37603624612e-06,-0.0008374479163,-2.32536263089e-07,-1.00381465627e-05,-5.16118915835e-07,-0.0222487789711,-1.26756208291e-05,5.390205923e-05,-4.41843996379e-09,-0.000645808402158,0.000153407851276,-0.188008713706,8.04520855445e-05,0.000883854706562,-1.09483626329e-07
0.008,4.23931621746e-05,4.17002754022e-05,-0.175047588255,8.3920056798e-06,-0.00112950264301,-3.13720825424e-07,-1.24135440847e-05,-6.7572940062e-07,-0.0297250753274,-1.67941634921e-05,7.19058547593e-05,-6.11984308144e-09,-0.000866560032656,0.000209634564183,-0.254386315897,0.000109859579444,0.00119043022135,-1.27354885337e-07
0.009,5.29128533445e-05,5.41953837443e-05,-0.227652177478,1.05380869778e-05,-0.00146003474614,-4.05649659713e-07,-1.44345654562e-05,-8.44411976476e-07,-0.0380134694335,-2.12491858637e-05,9.17877365414e-05,-8.14895621798e-09,-0.00111353370349,0.000275007683271,-0.330037077815,0.00014399339143,0.00153635787848,-1.34590537093e-07
