# Benchmark Case 3b Acceleration Results: Denoted by grid and degree of freedom
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1021_1,1021_2,1021_3,1021_4,1021_5,1021_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,9.98321172632e-07,-8.32367983595e-10,-0.000932331270379,2.01329338194e-07,-3.23041784368e-06,1.78928611627e-11,-3.54673519661e-07,-3.1422106257e-08,-0.0006029390934,-3.92969269659e-07,1.18366892917e-06,-2.45355027586e-10,-1.86672844331e-05,4.21731634632e-06,-0.00530041799869,2.23872733107e-06,2.51913213791e-05,-4.25553612745e-09
0.003,3.95591051333e-06,-3.30064986674e-09,-0.00372730992915,7.9920670873e-07,-1.28878935682e-05,7.04362658972e-11,-1.39064167551e-06,-1.24315755304e-07,-0.00240185286538,-1.56121661396e-06,4.72568303164e-06,-9.76229963773e-10,-7.44024762425e-05,1.68878650662e-05,-0.0211702324547,8.96141298664e-06,0.000100500854818,-1.6548220831e-08
0.004,8.76499022682e-06,-7.30586496711e-09,-0.00837929985661,1.77561976024e-06,-2.88766294501e-05,1.54307435304e-10,-3.02606510072e-06,-2.7466946352e-07,-0.00536825403515,-3.47502851144e-06,1.06003840334e-05,-2.17756971707e-09,-0.000166427514813,3.80630937146e-05,-0.0475159204612,2.01880332213e-05,0.000225151567788,-3.55296825659e-08
0.005,1.52549301712e-05,-1.26723449481e-08,-0.0148795671811,3.10120179094e-06,-5.10461560742e-05,2.64220763039e-10,-5.13086859833e-06,-4.76110964543e-07,-0.00945693578531,-6.08778505291e-06,1.87673559431e-05,-3.82554353766e-09,-0.000293502682607,6.78247547233e-05,-0.084187769543,3.59513249862e-05,0.000397903658394,-5.90625528755e-08
0.006,2.31986911164e-05,-1.91596253488e-08,-0.0232165064651,4.73583400578e-06,-7.91954196824e-05,3.93220089208e-10,-7.5341768329e-06,-7.20249799789e-07,-0.0146074336801,-9.33584090121e-06,2.9172624195e-05,-5.88855597773e-09,-0.00045396780075,0.000106284295646,-0.130986481884,5.62942869309e-05,0.000617101213765,-8.42636550026e-08
0.007,3.23201303847e-05,-2.6475656568e-08,-0.0333758945314,6.62950577679e-06,-0.000113077923061,5.33015112562e-10,-1.00337963217e-05,-9.97060746937e-07,-0.0207458790724,-1.31385456092e-05,4.17500365228e-05,-8.32824050165e-09,-0.000645772466149,0.000153577368182,-0.187666572984,8.12672093365e-05,0.000880701757226,-1.07574705276e-07
0.008,4.23028518166e-05,-3.42924868574e-08,-0.0453411988298,8.72339596031e-06,-0.000152407968755,6.74381518814e-10,-1.24076788857e-05,-1.29534102439e-06,-0.0277872445043,-1.73983104831e-05,5.64229400494e-05,-1.11006816976e-08,-0.000866512908149,0.000209857111424,-0.253940504841,0.000110924108498,0.00118631220283,-1.24848995052e-07
0.009,5.28003385687e-05,-4.22637167504e-08,-0.0590939319173,1.09511714746e-05,-0.000196867830639,8.07607447853e-10,-1.44269910323e-05,-1.60322241686e-06,-0.0356379136376,-2.2000753179e-05,7.31061081638e-05,-1.4157842653e-08,-0.00111347469589,0.000275286387647,-0.329483466951,0.000145318689553,0.0015312304454,-1.31452153315e-07
