# Benchmark Case 3c Acceleration Results: Denoted by grid and degree of freedom
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1021_1,1021_2,1021_3,1021_4,1021_5,1021_6
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.002,-1.35956078393e-07,3.56540600521e-10,4.43138012939e-07,1.10303273765e-08,1.03245766755e-08,-7.18741889297e-12,3.49239322415e-08,9.31558050146e-09,7.49846179979e-06,-3.30869553876e-08,-1.73386396188e-08,4.46932780841e-11,2.74016623363e-06,-4.713515435e-07,0.000587968249307,1.07805719904e-07,-3.72722220403e-06,-1.37756820565e-09
30.003,-2.66759922607e-07,6.99966205423e-10,8.66978822939e-07,2.13054294356e-08,2.02411155882e-08,-1.40811197494e-11,6.62376513667e-08,1.83142337224e-08,1.46957418026e-05,-6.4371155972e-08,-3.42201598028e-08,8.92825944784e-11,5.44074735141e-06,-9.39176679018e-07,0.00117138612075,2.09697553415e-07,-7.41605955103e-06,-2.73088152873e-09
30.004,-3.87863487917e-07,1.0183328215e-09,1.2558732416e-06,3.01820452165e-08,2.93887621862e-08,-2.04218227679e-11,9.06243896064e-08,2.6712738766e-08,2.13275872459e-05,-9.22369955862e-08,-5.02467151802e-08,1.33650431986e-10,8.06598569582e-06,-1.40011955587e-06,0.00174594126211,3.00524451832e-07,-1.10312983127e-05,-4.03780309605e-09
30.005,-4.95155890999e-07,1.30080619372e-09,1.59579685569e-06,3.70890642564e-08,3.74426243508e-08,-2.59740495126e-11,1.05212971411e-07,3.42530515438e-08,2.71553109613e-05,-1.15223232678e-07,-6.50498767256e-08,1.77704003013e-10,1.05838645202e-05,-1.85142120931e-06,0.00230797491939,3.75496877008e-07,-1.45421114378e-05,-5.27936961836e-09
30.006,-5.84978041596e-07,1.53778481583e-09,1.8744525768e-06,4.1546328151e-08,4.41178650689e-08,-3.0529439621e-11,1.07716317933e-07,4.0703497505e-08,3.19692192676e-05,-1.32055253166e-07,-7.82805196696e-08,2.21336921692e-10,1.29643146346e-05,-2.29053438681e-06,0.00285403208373,4.30254782779e-07,-1.79194384975e-05,-6.43909377004e-09
30.007,-6.54238746683e-07,1.72121386132e-09,2.08170109442e-06,4.31872746704e-08,4.91796975246e-08,-3.39137045068e-11,9.65808754839e-08,4.58656522179e-08,3.55958720375e-05,-1.41692795732e-07,-8.96138275236e-08,2.64426507735e-10,1.51797226856e-05,-2.71517502757e-06,0.00338091398256,4.60978883817e-07,-2.11364434501e-05,-7.50357306183e-09
30.008,-7.00513937416e-07,1.84484941395e-09,2.20991444705e-06,4.17773811385e-08,5.24515981069e-08,-3.59925238081e-11,7.11115671578e-08,4.95803197065e-08,3.79040708074e-05,-1.43370427447e-07,-9.87537867954e-08,3.06832561312e-10,1.72053894935e-05,-3.1233651892e-06,0.00388572571032,4.64487543308e-07,-2.41689286163e-05,-8.46298544963e-09
30.009,-7.22126027363e-07,1.90446440517e-09,2.2542402683e-06,3.72277129359e-08,5.38214493541e-08,-3.6676198795e-11,3.15680731919e-08,5.17324373829e-08,3.88093679404e-05,-1.36629536734e-07,-1.05437065875e-07,3.48397808286e-10,1.90199275213e-05,-3.51346568606e-06,0.00436591768843,4.38316781116e-07,-2.69956943793e-05,-9.31145249226e-09
