# Benchmark Case 3c Element Force Results: Denoted by element and degree of freedom
# DOF is based on NASTRAN numbering 1-7 are End A and 71-77 are End B
# 1=Moment1; 2=Moment2; 3=Shear1; 4=Shear2; 5=Axial; 6=Torque; 7=WarpingTorque
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1001_7,1010_71,1010_72,1010_73,1010_74,1010_75,1010_76,1010_77,1020_71,1020_72,1020_73,1020_74,1020_75,1020_76,1020_77,1101_71,1101_72,1101_73,1101_74,1101_75,1101_76,1101_77,1102_71,1102_72,1102_73,1102_74,1102_75,1102_76,1102_77,1103_71,1103_72,1103_73,1103_74,1103_75,1103_76,1103_77,1104_71,1104_72,1104_73,1104_74,1104_75,1104_76,1104_77
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.002,-2.13920509932e-07,-0.000307075113894,4.85204300418e-08,6.04662767843e-05,-1.85307834324e-05,0.000402498050813,0.0,-1.72648700499e-05,0.0259009129761,-4.2132270914e-07,-0.000901981029734,4.67238709353e-06,-0.00158506505948,0.0,3.55429569033e-14,-9.66141455599e-11,9.58605896673e-08,0.0199833031588,-5.57501147321e-07,-5.4817658039e-05,0.0,2.22867078565e-11,1.72939010776e-12,-1.71082031261e-07,6.59157523792e-07,-2.07751672604e-07,-8.05301797502e-08,0.0,1.99437079714e-11,-1.77931583369e-13,-1.70707147053e-07,2.05181032912e-07,-2.07417918466e-07,8.06398353527e-08,0.0,-2.30755161451e-11,-4.43134881062e-12,3.66568427964e-07,2.05543778354e-07,2.07751736073e-07,8.05296985676e-08,0.0,-1.81070267567e-11,3.19592973753e-12,3.66193438743e-07,6.59520096236e-07,2.07417970663e-07,-8.0638587325e-08,0.0
30.003,-4.19976420947e-07,-0.000603229473745,9.53847788366e-08,0.000118769826016,-3.64358975387e-05,0.000780604163002,0.0,-3.43205524877e-05,0.0510639525202,-8.29506738244e-07,-0.00177457975655,8.76000907672e-06,-0.00311664709231,0.0,7.05304004922e-14,-1.92389889513e-10,1.91129117195e-07,0.039970494295,-1.1081226262e-06,-0.000106947426992,0.0,4.45842150147e-11,3.43774099004e-12,-3.3589002798e-07,1.28488625202e-06,-4.0811516039e-07,-1.5819628678e-07,0.0,3.98977811462e-11,-3.75635914615e-13,-3.35153927307e-07,3.93064058548e-07,-4.07459023036e-07,1.58411463952e-07,0.0,-4.61625064253e-11,-8.88313402978e-12,7.20302753111e-07,3.93777220968e-07,4.0811528733e-07,1.58195318859e-07,0.0,-3.62246888834e-11,6.37104405271e-12,7.19566442717e-07,1.28559906847e-06,4.07459127386e-07,-1.58408968462e-07,0.0
30.004,-6.10431175705e-07,-0.000877686679566,1.38960331522e-07,0.000172791591067,-5.3093198758e-05,0.00111096168456,0.0,-5.09545598677e-05,0.0747583937076,-1.21117872791e-06,-0.00258877668977,1.17135259765e-05,-0.00454119885313,0.0,1.04389332777e-13,-2.86411638289e-10,2.85120787841e-07,0.0599468957607,-1.64456717255e-06,-0.000153763572806,0.0,6.68822275191e-11,5.10343823076e-12,-4.88260491061e-07,1.84484500643e-06,-5.93737813018e-07,-2.30172052131e-07,0.0,5.98539588912e-11,-6.11745799123e-13,-4.87190293912e-07,5.47347477179e-07,-5.92781874389e-07,2.30484552264e-07,0.0,-6.92506008922e-11,-1.3370714024e-11,1.04851382162e-06,5.48386569904e-07,5.93738003348e-07,2.30170586872e-07,0.0,-5.43466874183e-11,9.50260005563e-12,1.04744331074e-06,1.8458835804e-06,5.92782030766e-07,-2.30480811357e-07,0.0
30.005,-7.78226624518e-07,-0.00112069862931,1.77759624525e-07,0.000220604559815,-6.79378784781e-05,0.00137271026177,0.0,-6.69976499667e-05,0.096322013722,-1.55340607551e-06,-0.00331818029562,1.30650424509e-05,-0.00580807172558,0.0,1.36626829625e-13,-3.77875340326e-10,3.77270518111e-07,0.0799135854667,-2.16028022308e-06,-0.000192815415899,0.0,8.91876909984e-11,6.70820271785e-12,-6.22627805203e-07,2.31005307321e-06,-7.57998723099e-07,-2.93900970943e-07,0.0,7.98191312375e-11,-9.03187587453e-13,-6.21262908643e-07,6.53502136021e-07,-7.56775778369e-07,2.94298885845e-07,0.0,-9.23472582426e-11,-1.79110811363e-11,1.33970975556e-06,6.54831592941e-07,7.57998976726e-07,2.9389899272e-07,0.0,-7.24803840195e-11,1.25723434685e-11,1.33834444224e-06,2.31138183883e-06,7.56775986599e-07,-2.94293902235e-07,0.0
30.006,-9.17083659233e-07,-0.00132367135319,2.10457707708e-07,0.000260509291799,-8.04646638478e-05,0.00154816888906,0.0,-8.23152752533e-05,0.115167419448,-1.84360963636e-06,-0.00393934536505,1.2457508511e-05,-0.00686934678923,0.0,1.66812352782e-13,-4.66020799121e-10,4.67054843221e-07,0.099871679517,-2.64908688716e-06,-0.000221862514627,0.0,1.11506847781e-10,8.23645497427e-12,-7.34124466125e-07,2.65563439563e-06,-8.95059974606e-07,-3.47129280703e-07,0.0,9.97994714008e-11,-1.26433333014e-12,-7.3251519913e-07,6.99396578411e-07,-8.93611916331e-07,3.47597402309e-07,0.0,-1.15459191958e-10,-2.25187184499e-11,1.58371711987e-06,7.00970959068e-07,8.95060291427e-07,3.47126769308e-07,0.0,-9.06323704318e-11,1.55647229636e-11,1.58210733434e-06,2.65720791273e-06,8.93612176199e-07,-3.47591179319e-07,0.0
30.007,-1.02171150229e-06,-0.00147946666171,2.35935488854e-07,0.00029109342994,-9.02438472593e-05,0.00162366310538,0.0,-9.68140159981e-05,0.130801971865,-2.06973187982e-06,-0.00443255712303,9.67483436948e-06,-0.00768069183845,0.0,1.9459380478e-13,-5.5014367365e-10,5.5400255295e-07,0.119822304033,-3.10529651478e-06,-0.000238931875486,0.0,1.33845025488e-10,9.6759930824e-12,-8.18761111562e-07,2.86188775211e-06,-1.0000710482e-06,-3.87985083172e-07,0.0,1.19800236745e-10,-1.70642574751e-12,-8.16967028001e-07,6.75921487815e-07,-9.98447452872e-07,3.8850542331e-07,0.0,-1.38592137808e-10,-2.72049410739e-11,1.7720280949e-06,6.77687004298e-07,1.0000714281e-06,3.87982014386e-07,0.0,-1.08808254561e-10,1.84675635448e-11,1.77023339251e-06,2.86365223307e-06,9.98447764128e-07,-3.8849796478e-07,0.0
30.008,-1.08798638436e-06,-0.00158265194006,2.53316468639e-07,0.000311280959334,-9.69350724555e-05,0.00159020480378,0.0,-0.000110444481056,0.142844660865,-2.22045014479e-06,-0.00478249458639,4.66774460226e-06,-0.00820223181093,0.0,2.19710703948e-13,-6.2960637609e-10,6.3770362379e-07,0.139766579347,-3.52379739084e-06,-0.000242368041668,0.0,1.56206449852e-10,1.10185901404e-11,-8.73572933903e-07,2.91516929658e-06,-1.06933802097e-06,-4.15043861463e-07,0.0,1.39825573566e-10,-2.23691955841e-12,-8.71660796117e-07,5.77503175844e-07,-1.06759448339e-06,4.15596265573e-07,0.0,-1.61750660344e-10,-3.19773581408e-11,1.89809078719e-06,5.79399492847e-07,1.06933846384e-06,4.15040207726e-07,0.0,-1.270124619e-10,2.12726925304e-11,1.89617793194e-06,2.91706440643e-06,1.06759484575e-06,-4.15587575768e-07,0.0
30.009,-1.11309399541e-06,-0.00162968933081,2.61995673216e-07,0.000320369492239,-0.000100298462237,0.0014439992164,0.0,-0.000123200179651,0.15103937556,-2.28543847378e-06,-0.00497875171941,-2.42539943117e-06,-0.00839943102254,0.0,2.42003970375e-13,-7.03847591407e-10,7.17816087511e-07,0.159705604624,-3.90013930202e-06,-0.000230874767493,0.0,1.78594106691e-10,1.22604436849e-11,-8.96726981856e-07,2.80855516358e-06,-1.10045160585e-06,-4.27378094599e-07,0.0,1.59878389736e-10,-2.85916297448e-12,-8.94768496949e-07,4.02486788453e-07,-1.09864787481e-06,4.27940930315e-07,0.0,-1.84938002897e-10,-3.68394230632e-11,1.95753288081e-06,4.04449038981e-07,1.10045211156e-06,4.27373825774e-07,0.0,-1.45248084075e-10,2.39763343812e-11,1.95557358161e-06,2.81051603566e-06,1.09864828797e-06,-4.27931013812e-07,0.0
