# Benchmark Case 4 Acceleration Results: Denoted by grid and degree of freedom
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1021_1,1021_2,1021_3,1021_4,1021_5,1021_6
0.0,386.1,-1.23794096118e-12,4.73834665731e-13,-3.29645354401e-15,5.25016935764e-15,1.40101882286e-14,386.1,-1.49236081099e-13,-9.31202665252e-14,-7.74224840503e-16,-1.01180280683e-15,-1.15812965732e-15,386.1,1.76728362534e-13,1.28474556535e-13,-7.01446614376e-16,-3.61650722819e-16,1.01555353124e-15
0.001,386.507681119,-1.89174832713e-06,-2.17504025317e-06,-1.0020645673e-12,-3.86262540139e-08,3.64480060325e-08,385.956552144,-2.51008768414e-06,-2.51516239548e-06,1.66596963116e-12,-3.83082058764e-07,3.83125680269e-07,386.025177607,-0.00137747172284,-0.00137747284421,-2.67358885015e-12,-1.82251846951e-06,1.8225286572e-06
0.002,386.909849159,-3.62513132854e-06,-4.17422317724e-06,-2.03941583314e-12,-7.48792061711e-08,7.06684817165e-08,385.819189657,-4.80624007878e-06,-4.81582276535e-06,3.14531320111e-12,-7.52754121716e-07,7.52836125109e-07,385.953319146,-0.00269571701239,-0.00269571913831,-5.1020208311e-12,-3.63624763574e-06,3.63626699239e-06
0.003,387.301642401,-5.05762408247e-06,-5.83898038596e-06,-2.83119751812e-12,-1.06700094218e-07,1.00734984463e-07,385.693136129,-6.67977164064e-06,-6.69280909425e-06,4.34565217827e-12,-1.09740224651e-06,1.09751289201e-06,385.886966797,-0.00390338216404,-0.00390338507976,-7.01667594532e-12,-5.43059932646e-06,5.43062593905e-06
0.004,387.678424419,-6.07143007066e-06,-7.03819460561e-06,-3.26753498248e-12,-1.32316646231e-07,1.24985059156e-07,385.583338428,-7.9493797665e-06,-7.9644271869e-06,5.1644526844e-12,-1.40612904926e-06,1.40625492119e-06,385.828485855,-0.00495305412821,-0.00495305753929,-8.21884056109e-12,-7.19153467367e-06,7.19156589933e-06
0.005,388.035878831,-6.58273815199e-06,-7.67858304565e-06,-3.34045249224e-12,-1.50352625406e-07,1.42120585964e-07,385.494352539,-8.47197278423e-06,-8.48732405583e-06,5.51692870651e-12,-1.66905070984e-06,1.6691758603e-06,385.779991836,-0.00580287836709,-0.00580288192568,-8.58442528847e-12,-8.90021863166e-06,8.90025133504e-06
0.006,388.370095438,-6.54839758597e-06,-7.71193496178e-06,-3.0347135869e-12,-1.59908469521e-07,1.51283706313e-07,385.43023945,-8.15153534151e-06,-8.16537451609e-06,5.36623374614e-12,-1.87756678487e-06,1.87767406084e-06,385.743285062,-0.00641799537024,-0.00641799870443,-8.05659092219e-12,-1.05319801725e-05,1.05320109919e-05
0.007,388.677645568,-5.96892258101e-06,-7.13856138922e-06,-2.43638898262e-12,-1.60607009112e-07,1.52098946657e-07,385.394473644,-6.94557223189e-06,-6.95613590481e-06,4.70243303132e-12,-2.02459587636e-06,2.02466835739e-06,385.719794603,-0.00677175051286,-0.00677175325997,-6.66844382936e-12,-1.20556512294e-05,1.20556768777e-05
0.008,388.955644723,-4.88817244617e-06,-6.00683667635e-06,-1.36647706735e-12,-1.52602661778e-07,1.4468347558e-07,385.389866391,-4.86880845187e-06,-4.87454387198e-06,3.62740042742e-12,-2.10477102743e-06,2.10479344243e-06,385.710533212,-0.00684663888425,-0.00684664072147,-4.48131154683e-12,-1.34333427769e-05,1.34333603222e-05
0.009,389.201801037,-3.38921158087e-06,-4.40866483572e-06,-1.21307127543e-14,-1.36552337251e-07,1.2962130521e-07,385.418505635,-1.99393087576e-06,-1.99363642568e-06,2.20211077412e-12,-2.1145898468e-06,2.11454985342e-06,385.71606452,-0.00663495476411,-0.00663495543767,-1.68125864876e-12,-1.462069946e-05,1.46207065899e-05
0.01,389.414448461,-1.58712639672e-06,-2.47144504469e-06,1.55221397569e-12,-1.13552520081e-07,1.0790730748e-07,385.481713826,1.55068793915e-06,1.55775235805e-06,5.49712335059e-13,-2.05251543118e-06,2.05240465634e-06,385.736483469,-0.00613912439404,-0.00613912374074,1.51381340022e-12,-1.55676554461e-05,1.55676506668e-05
0.011,389.592564024,3.80889506589e-07,-3.47210291472e-07,3.1563420907e-12,-8.50479308223e-08,8.08637357753e-08,385.580024536,5.58621156391e-06,5.60025180509e-06,-1.2044616794e-12,-1.91902547634e-06,1.91884025292e-06,385.771410543,-0.00537171025756,-0.00537170822045,4.83494484145e-12,-1.62196943131e-05,1.62196770933e-05
0.012,389.735769012,2.36683343721e-06,1.8001748353e-06,4.74196465396e-12,-5.27191969378e-08,5.0040115387e-08,385.713178232,9.89128541253e-06,9.91195020037e-06,-2.89921080447e-12,-1.71660831621e-06,1.71635000997e-06,385.819999977,-0.00435508501058,-0.00435508164443,8.01871383642e-12,-1.65195954654e-05,1.65195662879e-05
0.013,389.844314333,4.22432289629e-06,3.80852328684e-06,6.25715276022e-12,-1.83598535465e-08,1.7099252421e-08,385.880137045,1.4212375078e-05,1.42387768085e-05,-4.37375156307e-12,-1.44970597058e-06,1.44938094512e-06,385.880961744,-0.00312078316011,-0.00312077862894,1.0806332008e-11,-1.64096293815e-05,1.64095897239e-05
0.014,389.919050811,5.82043085411e-06,5.53060988968e-06,7.23910021613e-12,1.62491341438e-08,-1.6296396666e-08,386.079117881,1.82760280323e-05,1.83068128815e-05,-5.58414655267e-12,-1.12460573626e-06,1.12422490756e-06,385.952596711,-0.00170854830742,-0.00170854287191,1.29047785155e-11,-1.58341447757e-05,1.5834096998e-05
0.015,389.961385542,7.04623640881e-06,6.84589097723e-06,7.94284431321e-12,4.94558125276e-08,-4.85915682623e-08,386.307642761,2.18025115091e-05,2.18359712867e-05,-6.34883975228e-12,-7.49283127544e-07,7.48861165509e-07,386.032844007,-0.000165102953242,-0.000165096950727,1.41803092617e-11,-1.47424728856e-05,1.47424200489e-05
0.016,390.525795055,5.26128663913e-06,4.72157341138e-06,6.82368274188e-12,2.74815323667e-08,-2.90299030032e-08,386.368176227,2.11180477271e-05,2.11453795536e-05,-4.36765802085e-12,-8.52428013358e-07,8.52041439159e-07,386.017925352,-0.000409695376821,-0.000409690715442,1.08621537088e-11,-1.55622920409e-05,1.55622514848e-05
0.017,391.054578701,3.20565536007e-06,2.30197099813e-06,5.36396066653e-12,4.78102054957e-09,-8.94604596706e-09,386.459738948,1.9665747596e-05,1.96857576003e-05,-2.08482773589e-12,-9.07344908914e-07,9.07005358169e-07,386.010671764,-0.000551095383157,-0.000551092311076,6.89671693912e-12,-1.57802683448e-05,1.5780242393e-05
0.018,391.543846461,1.0740628987e-06,-1.96045271685e-07,3.9166449481e-12,-1.66239446346e-08,9.81949246129e-09,386.585296979,1.75159453266e-05,1.75282240345e-05,3.57065450838e-13,-9.09972516462e-07,9.09685611433e-07,386.011767807,-0.000577775481812,-0.000577774101989,2.6709076538e-12,-1.53654952044e-05,1.53654848629e-05
0.019,391.990291065,-9.33255193999e-07,-2.54954639857e-06,2.35019956362e-12,-3.47318872515e-08,2.54508248975e-08,386.747083468,1.4751015977e-05,1.4755975833e-05,2.69191421719e-12,-8.57893570479e-07,8.57658715401e-07,386.021577823,-0.000483643016623,-0.000483643281655,-1.4922865421e-12,-1.43001750393e-05,1.43001799479e-05
0.02,392.391231503,-2.62803968538e-06,-4.54889318589e-06,1.01189336951e-12,-4.77267361871e-08,3.63065267488e-08,386.946550256,1.14614772039e-05,1.14603259515e-05,4.77756084858e-12,-7.50420042806e-07,7.5023076369e-07,386.040130718,-0.00026827327568,-0.000268274995049,-5.20714668116e-12,-1.25807171205e-05,1.25807356136e-05
0.021,392.744643623,-3.85012257997e-06,-6.01563043139e-06,9.58444910647e-14,-5.41284488722e-08,4.10557264487e-08,387.184336511,7.74235244536e-06,7.73700490484e-06,6.46696792454e-12,-5.88631929574e-07,5.8847671207e-07,386.067115772,6.30856716751e-05,6.30828120757e-05,-8.1577203844e-12,-1.02188956888e-05,1.02189249707e-05
0.022,393.049177278,-4.48129200031e-06,-6.81796789785e-06,-4.37963416073e-13,-5.29209325849e-08,3.87928315719e-08,387.460254994,3.68994312382e-06,3.68287690459e-06,7.60493535114e-12,-3.75368517741e-07,3.75232094033e-07,386.101889735,0.000499739996147,0.000499736404167,-1.01322409443e-11,-7.24305103986e-06,7.24308745518e-06
0.023,393.304159779,-4.45566272104e-06,-6.8821352452e-06,-4.18682609557e-13,-4.36433772829e-08,2.91207643653e-08,387.773296174,-6.00875873982e-07,-6.06800880338e-07,8.14384920178e-12,-1.15172364733e-07,1.15037289484e-07,386.14349514,0.00102600505422,0.00102600119361,-1.09695884368e-11,-3.69930536644e-06,3.69934473955e-06
0.024,393.5095858,-3.76521255003e-06,-6.19874050247e-06,1.38026901438e-13,-2.64378836953e-08,1.2191977043e-08,388.121649923,-5.03875582962e-06,-5.04050559499e-06,8.05852846649e-12,1.8581272986e-07,-1.85964296098e-07,386.190689435,0.00162187685278,0.00162187320151,-1.06346626428e-11,3.47245333954e-07,-3.47207318607e-07
0.025,393.66609417,-2.46068894949e-06,-4.82355610313e-06,1.32237266762e-12,-2.04888788023e-09,-1.12912032871e-08,388.502744172,-9.53735786464e-06,-9.53193310389e-06,7.41580754614e-12,5.1998738982e-07,-5.20171915399e-07,386.241984234,0.00226390145242,0.00226389846015,-9.17232011899e-12,4.8114113722e-06,-4.8113787848e-06
0.026,393.774932318,-6.47082126952e-07,-2.87274864948e-06,2.79628645071e-12,2.82253167314e-08,-4.01229190614e-08,388.913299475,-1.40162299853e-05,-1.40008654693e-05,6.2436905934e-12,8.78482581064e-07,-8.78713502812e-07,386.295693691,0.00292621704173,0.00292621509032,-6.78649838949e-12,9.58691765148e-06,-9.58689395483e-06
0.027,393.837909448,1.52514676381e-06,-5.12917599313e-07,4.70799554497e-12,6.26255490892e-08,-7.2677087002e-08,389.349398056,-1.84011570713e-05,-1.8373486618e-05,4.73709126839e-12,1.25138147674e-06,-1.2516678557e-06,386.349990733,0.00358173742798,0.00358173679807,-3.67999815065e-12,1.45456025099e-05,-1.45455902566e-05
0.028,393.85733976,3.87312274381e-06,2.05319394999e-06,6.67505989768e-12,9.90617959324e-08,-1.07027258482e-07,389.806565612,-2.26240719043e-05,-2.25822508999e-05,3.00308851557e-12,1.6279721131e-06,-1.62831766996e-06,386.402969645,0.00420344057841,0.00420344142593,-1.9458920915e-13,1.95368736477e-05,-1.95368742623e-05
