# Benchmark Case 4 Element Force Results: Denoted by element and degree of freedom
# DOF is based on NASTRAN numbering 1-7 are End A and 71-77 are End B
# 1=Moment1; 2=Moment2; 3=Shear1; 4=Shear2; 5=Axial; 6=Torque; 7=WarpingTorque
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1001_7,1010_71,1010_72,1010_73,1010_74,1010_75,1010_76,1010_77,1020_71,1020_72,1020_73,1020_74,1020_75,1020_76,1020_77,1101_71,1101_72,1101_73,1101_74,1101_75,1101_76,1101_77,1102_71,1102_72,1102_73,1102_74,1102_75,1102_76,1102_77,1103_71,1103_72,1103_73,1103_74,1103_75,1103_76,1103_77,1104_71,1104_72,1104_73,1104_74,1104_75,1104_76,1104_77
0.0,99999.8996768,5599999.89846,2.36963697564e-05,9999.99999121,-573370.522615,-0.000597886374263,0.0,99999.9002839,1599999.89991,-9.09663283268e-06,5999.99999379,-211137.742626,-2.17799608696e-05,0.0,-2.54248577543e-09,2.91997647999e-08,-3.52172289069e-08,999.999995759,-78.4711959243,-1.3431528918e-05,0.0,-3761758.72769,2716.05197793,200637.573558,-10.565680915,-8554.63756126,275762.302614,0.0,-3743074.78759,-2960.30000695,199078.747825,17.8258623769,-8548.712887,-285800.070421,0.0,-2695355.30339,-2766.00856474,111752.049343,12.0058568884,-739.091440087,-275761.991482,0.0,-2714015.19152,3010.3022073,113310.17977,-19.2669327114,-745.105506499,285799.768238,0.0
0.001,99999.8989815,5599999.89777,-6.78033830067e-05,9999.99991202,-573519.439487,-0.000597938933721,0.0,99999.7131988,1599999.71282,0.00307501248141,6000.00307781,-211147.466787,-2.1775817e-05,0.0,-2.58928605614e-09,2.91537699596e-08,0.000280501044313,1000.0002763,-78.4559561011,-1.34302470912e-05,0.0,-3761560.61258,2716.05225817,200629.78277,-10.565691634,-8554.85757779,275762.302624,0.0,-3742876.67342,-2960.29992818,199070.957078,17.8258589747,-8548.93272787,-285800.070321,0.0,-2695157.19016,-2766.00865646,111744.258635,12.0058605038,-739.311225146,-275761.991492,0.0,-2713817.07753,3010.30194007,113302.389028,-19.2669222062,-745.325473622,285799.768137,0.0
0.002,99999.8983285,5599999.89712,-0.000158079240304,9999.99983355,-573668.063235,-0.000597973149885,0.0,99999.5331885,1599999.53281,0.00603329011447,6000.006036,-211156.769238,-2.17751316671e-05,0.0,-2.63585644322e-09,2.91079889011e-08,0.0005501338387,1000.00054593,-78.4412539845,-1.34291807184e-05,0.0,-3761357.33939,2716.05265033,200621.752541,-10.5657055795,-8555.07267711,275762.302633,0.0,-3742673.40111,-2960.29993935,199062.926888,17.8258583876,-8549.1476635,-285800.07022,0.0,-2694953.91863,-2766.00873855,111736.228478,12.0058638678,-739.526120893,-275761.991501,0.0,-2713613.80538,3010.30164125,113294.358842,-19.2669110381,-745.540539098,285799.768036,0.0
0.003,99999.8977573,5599999.89657,-0.000245752090883,9999.99975669,-573816.103324,-0.000598017011954,0.0,99999.3670678,1599999.36669,0.00874494081758,6000.00874758,-211165.244255,-2.17743949145e-05,0.0,-2.68192091336e-09,2.90626817767e-08,0.000798363430419,1000.00079416,-78.4276092188,-1.34285553441e-05,0.0,-3761143.86518,2716.05326421,200613.247848,-10.5657259195,-8555.27777589,275762.302641,0.0,-3742459.92764,-2960.30012669,199054.422228,17.8258633019,-8549.3526213,-285800.070119,0.0,-2694740.44567,-2766.00880145,111727.723843,12.0058667306,-739.731069267,-275761.991509,0.0,-2713400.33204,3010.30127769,113285.854185,-19.2668984762,-745.745633755,285799.767935,0.0
0.004,99999.8973014,5599999.89614,-0.000329151032194,9999.99968272,-573963.27467,-0.00059807766557,0.0,99999.2211588,1599999.22078,0.011098692272,6000.01110128,-211172.516344,-2.17744181019e-05,0.0,-2.72711617811e-09,2.90181964567e-08,0.00101545429099,1000.00101125,-78.4155072479,-1.34285637473e-05,0.0,-3760915.37116,2716.05420559,200604.042198,-10.5657557003,-8555.46744667,275762.302647,0.0,-3742231.43421,-2960.30056971,199045.216606,17.8258761694,-8549.5421823,-285800.070017,0.0,-2694511.95234,-2766.00883548,111718.518234,12.0058688346,-739.920663102,-275761.991516,0.0,-2713171.8387,3010.30081348,113276.648566,-19.2668836689,-745.935341639,285799.767835,0.0
0.005,99999.8969866,5599999.89587,-0.000406226414379,9999.99961342,-574109.300264,-0.000598148074371,0.0,99999.1010777,1599999.1007,0.012996890626,6000.01299945,-211178.253478,-2.17761356441e-05,0.0,-2.77095624305e-09,2.89750041758e-08,0.00119276731219,1000.00118856,-78.4053843549,-1.34293385104e-05,0.0,-3760667.36355,2716.05557449,200593.921461,-10.5657977996,-8555.63576095,275762.30265,0.0,-3741983.42699,-2960.30133827,199035.095891,17.8258991068,-8549.71042327,-285800.069918,0.0,-2694263.94476,-2766.00883099,111708.397515,12.00586992,-740.088987286,-275761.991521,0.0,-2712923.83152,3010.30020877,113266.527851,-19.2668655948,-746.10374199,285799.767738,0.0
0.006,99999.8968287,5599999.89577,-0.000474515172877,9999.9995511,-574253.913362,-0.000598229237271,0.0,99999.0115452,1599999.01117,0.0143590934591,6000.01436166,-211182.179114,-2.17807528432e-05,0.0,-2.81280467485e-09,2.89337274431e-08,0.00132305626777,1000.00131885,-78.3976141727,-1.34309861819e-05,0.0,-3760395.76279,2716.05746354,200582.687314,-10.5658548771,-8555.77616583,275762.302651,0.0,-3741711.82645,-2960.3024906,199023.861757,17.8259338277,-8549.85079289,-285800.069824,0.0,-2693992.34333,-2766.00877827,111697.163362,12.0058697196,-740.229494163,-275761.991524,0.0,-2712652.23095,3010.29941949,113255.293716,-19.266843041,-746.244285316,285799.767646,0.0
0.007,99999.8968333,5599999.89584,-0.000531192421742,9999.9994986,-574396.859151,-0.00059830961767,0.0,99998.9562267,1599998.95585,0.0151250333494,6000.01512763,-211184.082634,-2.17890342129e-05,0.0,-2.85185651187e-09,2.88951582937e-08,0.00140071916235,1000.00139651,-78.3924960576,-1.34335432804e-05,0.0,-3760096.97825,2716.05995642,200570.160195,-10.5659293305,-8555.88140327,275762.302648,0.0,-3741413.04198,-2960.30407203,199011.334646,17.8259816018,-8549.95603071,-285800.069739,0.0,-2693693.55747,-2766.00866779,111684.636214,12.0058679659,-740.334922229,-275761.991526,0.0,-2712353.44643,3010.29839771,113242.766603,-19.2668146114,-746.349712228,285799.767565,0.0
0.008,99999.8969954,5599999.89608,-0.000573184676011,9999.99945914,-574537.895798,-0.000598421933825,0.0,99998.9376074,1599998.93723,0.0152568468835,6000.0152595,-211183.827954,-2.17976553803e-05,0.0,-2.88713137119e-09,2.88602653036e-08,0.00142199650581,1000.00141779,-78.390245657,-1.34370227261e-05,0.0,-3759767.9659,2716.06312649,200556.181697,-10.5660232551,-8555.94347845,275762.302642,0.0,-3741084.02965,-2960.30611434,198997.356151,17.8260432383,-8550.01813566,-285800.069668,0.0,-2693364.54325,-2766.00849024,111670.657666,12.0058643925,-740.397264697,-275761.991525,0.0,-2712024.43398,3010.2970926,113228.788104,-19.2667787549,-746.412022012,285799.7675,0.0
0.009,99999.8972999,5599999.89647,-0.000597365323902,9999.99943611,-574676.794838,-0.000598548623639,0.0,99998.9569068,1599998.95653,0.0147404905787,6000.01474322,-211181.360053,-2.18094852922e-05,0.0,-2.91747887174e-09,2.88301882599e-08,0.00138511015598,1000.0013809,-78.3909879466,-1.34413563846e-05,0.0,-3759406.2671,2716.06703542,200540.616318,-10.566138406,-8555.95368195,275762.302632,0.0,-3740722.33089,-2960.30863608,198981.790773,17.8261191033,-8550.02838866,-285800.069618,0.0,-2693002.84218,-2766.00823678,111655.09222,12.0058587408,-740.407792728,-275761.991523,0.0,-2711662.73506,3010.29545218,113213.222721,-19.2667338231,-746.422495256,285799.767457,0.0
