# Benchmark Case 4 Pad Interface Force Results: Denoted by node and degree of freedom
Time,1101_1,1101_2,1101_3,1101_4,1101_5,1101_6,1102_1,1102_2,1102_3,1102_4,1102_5,1102_6,1103_1,1103_2,1103_3,1103_4,1103_5,1103_6,1104_1,1104_2,1104_3,1104_4,1104_5,1104_6
0.0,200891.889878,-6058.72044964,-6039.36417908,-2825.2529334,-2464965.48053,2854952.26874,199334.012865,6058.75179878,-6030.95380772,3024.33453984,-2444679.63625,-2848861.97213,112006.365787,514.310996843,530.921822698,2756.90413981,2100890.95897,-1710904.61076,113565.444785,-514.342345975,539.396164613,-2956.03154671,2121206.73921,1717024.83059
0.001,200884.373099,-6058.8758981,-6039.51988366,-2825.24650714,-2464825.39236,2854812.1806,199326.49607,6058.90716666,-6031.10934197,3024.33053414,-2444539.5474,-2848721.88314,111998.849091,514.466393435,531.077246434,2756.90478124,2100750.87216,-1710764.52393,113557.927995,-514.497827672,539.551763219,-2956.03460874,2121066.65034,1716884.74186
0.002,200876.613472,-6059.02786822,-6039.67211239,-2825.24001817,-2464681.6569,2854668.44514,199318.736424,6059.05906605,-6031.26140764,3024.32651613,-2444395.81115,-2848578.14675,111991.08954,514.618332752,531.229213131,2756.90542736,2100607.13788,-1710620.78964,113550.168353,-514.649841992,539.703897239,-2956.03772589,2120922.91406,1716741.00573
0.003,200868.372644,-6059.17276423,-6039.8172719,-2825.23340561,-2464530.70824,2854517.4965,199310.495568,6059.20391005,-6031.40641789,3024.3224721,-2444244.86155,-2848427.197,111982.848773,514.763238194,531.374146411,2756.9060826,2100456.19012,-1710469.84186,113541.927501,-514.794803196,539.848983529,-2956.04094974,2120771.96441,1716590.05622
0.004,200859.420941,-6059.30674713,-6039.95152546,-2825.22661206,-2464369.13901,2854355.92728,199301.543828,6059.33786676,-6031.54054104,3024.31838601,-2444083.29115,-2848265.62646,111973.897114,514.897286306,531.508223002,2756.90675064,2100294.62138,-1710308.27312,113532.975763,-514.92888051,539.983193556,-2956.04432535,2120610.39392,1716428.48588
0.005,200849.541266,-6059.42562372,-6040.07068197,-2825.21958544,-2464193.77163,2854180.5599,199291.664101,6059.45674757,-6031.65958897,3024.31423867,-2443907.92231,-2848090.25748,111964.017458,515.016294461,531.627260423,2756.9074343,2100119.25402,-1710132.90576,113523.096037,-515.047886463,540.102341579,-2956.04788841,2120435.02498,1716253.11707
0.006,200838.532598,-6059.52475948,-6040.17010871,-2825.21228026,-2464001.72141,2853988.50968,199280.655368,6059.55591963,-6031.75892958,3024.31000745,-2443715.87034,-2847898.20537,111953.008786,515.115632755,531.726628851,2756.9081352,2099927.20334,-1709940.85507,113512.087303,-515.147189306,540.20179697,-2956.0516634,2120242.97286,1716061.06508
0.007,200826.213008,-6059.59902144,-6040.24467423,-2825.20465867,-2463790.44941,2853777.23768,199268.335698,6059.63024846,-6031.83342951,3024.30566649,-2443504.59629,-2847686.9312,111940.689167,515.190166517,531.80119364,2756.90885377,2099715.93041,-1709729.58213,113499.767631,-515.221655642,540.2764268,-2956.05566274,2120031.69865,1715849.79098
0.008,200812.422088,-6059.64275582,-6040.28872596,-2825.19669097,-2463557.80319,2853544.59145,199254.544685,6059.67407578,-6031.87743182,3024.30118723,-2443271.94773,-2847454.28255,111926.898196,515.234234085,531.84529309,2756.90958913,2099483.28286,-1709496.93458,113485.976613,-515.265628204,540.320573615,-2956.05988675,2119799.04991,1715617.14234
0.009,200797.022739,-6059.64980375,-6040.29610592,-2825.18835559,-2463302.04422,2853288.83247,199239.145229,6059.68123549,-6031.88477197,3024.29653951,-2443016.18619,-2847198.52093,111911.498779,515.241663227,531.852754873,2756.91033929,2099227.52228,-1709241.17401,113470.577153,-515.272941821,540.32807147,-2956.06432478,2119543.2882,1715361.38068
